Date,Open,High,Low,Close,Adj Close,Volume
"Sep 16, 2026",183,246,181,194,194,43301600
"Sep 15, 2026",183,184,181,183,183,70900
"Sep 14, 2026",185,185,180,183,183,166900
"Sep 11, 2026",187,187,182,185,185,142800
"Sep 10, 2026",187,190,185,187,187,240900
"Sep 9, 2026",187,189,185,187,187,254900
"Sep 8, 2026",186,188,185,187,187,168000
"Sep 7, 2026",186,190,185,186,186,346800
"Sep 4, 2026",189,200,186,187,187,2550900
"Sep 3, 2026",185,189,184,188,188,482700
"Sep 2, 2026",185,186,183,184,184,526500
"Sep 1, 2026",184,188,181,184,184,137900
"Aug 31, 2026",184,187,179,184,184,545000
"Aug 28, 2026",179,187,178,181,181,957800
"Aug 27, 2026",181,183,177,178,178,347900
"Aug 26, 2026",180,194,178,179,179,4766100
"Aug 24, 2026",180,181,179,180,180,166900
"Aug 21, 2026",180,182,179,180,180,46800
"Aug 20, 2026",180,181,176,179,179,157500
"Aug 19, 2026",180,180,177,180,180,109400
"Aug 18, 2026",177,185,177,180,180,873200
"Aug 14, 2026",178,179,173,177,177,194200
"Aug 13, 2026",176,181,172,173,173,169400
"Aug 12, 2026",173,176,172,176,176,89900
"Aug 11, 2026",176,176,170,173,173,382800
"Aug 10, 2026",176,178,175,176,176,102300
"Aug 7, 2026",178,178,175,177,177,97700
"Aug 6, 2026",182,182,174,176,176,240300
"Aug 5, 2026",180,181,179,180,180,90500
"Aug 4, 2026",181,185,177,180,180,615800
"Aug 3, 2026",177,183,177,181,181,608600
"Jul 31, 2026",173,180,173,177,177,553900
"Jul 30, 2026",169,174,168,173,173,255000
"Jul 29, 2026",176,200,167,168,168,8329200
"Jul 28, 2026",175,176,171,176,176,124300
"Jul 27, 2026",169,175,168,175,175,59800
"Jul 24, 2026",179,181,168,169,169,254600
"Jul 23, 2026",171,179,170,176,176,368700
"Jul 22, 2026",168,171,168,171,171,52000
"Jul 21, 2026",166,169,166,168,168,94500
"Jul 20, 2026",171,171,165,168,168,211100
"Jul 17, 2026",167,178,163,167,167,393000
"Jul 16, 2026",168,169,166,167,167,9100
"Jul 15, 2026",168,168,165,166,166,77900
"Jul 14, 2026",166,168,163,166,166,85900
"Jul 13, 2026",164,166,163,166,166,105400
