Date,Open,High,Low,Close,Adj Close,Volume
"Sep 15, 2026",105.00,139.00,104.00,139.00,139.00,"626,367,400"
"Sep 14, 2026",104.00,104.00,101.00,103.00,103.00,"5,469,800"
"Sep 11, 2026",103.00,104.00,101.00,104.00,104.00,"4,893,300"
"Sep 10, 2026",107.00,107.00,104.00,104.00,104.00,"7,493,100"
"Sep 9, 2026",107.00,107.00,105.00,106.00,106.00,"6,576,200"
"Sep 8, 2026",107.00,108.00,104.00,107.00,107.00,"16,827,200"
"Sep 7, 2026",106.00,107.00,105.00,107.00,107.00,"6,856,700"
"Sep 4, 2026",109.00,109.00,105.00,107.00,107.00,"11,806,500"
"Sep 3, 2026",106.00,112.00,105.00,108.00,108.00,"18,398,300"
"Sep 2, 2026",109.00,109.00,105.00,106.00,106.00,"6,309,500"
"Sep 1, 2026",105.00,109.00,103.00,108.00,108.00,"15,420,100"
